table,model_id,timing_mode,checkpoint_id,target_id,n_seeds,seeds,rmse_min,rmse_median,rmse_max,rmse_range,convergence_rate_min,convergence_rate_median,convergence_rate_max,median_relative_llf_improvement_max,revision_target_id
point,revision_dfm_kalman_em,exact,pre_second,S,5,1;2;3;4;5,0.234820036459108,0.2351809680998004,0.2352957260534548,0.0004756895943467,1.0,1.0,1.0,9.551111538095696e-05,
point,revision_dfm_kalman_em,exact,pre_third,T,5,1;2;3;4;5,0.2690250529082073,0.2690653833736375,0.2690742184460535,4.916553784622968e-05,1.0,1.0,1.0,9.463061706674004e-05,
point,revision_dfm_kalman_em,pseudo,pre_advance,A,5,1;2;3;4;5,2.747474236181439,2.747886210475252,2.7481302409375092,0.0006560047560704,1.0,1.0,1.0,9.57421932164726e-05,
point,revision_dfm_kalman_em,pseudo,pre_second,S,5,1;2;3;4;5,0.2351081815963196,0.2354587156139454,0.2355750777393285,0.0004668961430089,1.0,1.0,1.0,9.550787274245146e-05,
point,revision_dfm_kalman_em,pseudo,pre_third,T,5,1;2;3;4;5,0.2690390077778895,0.2690779865033786,0.2690868200160121,4.781223812255764e-05,1.0,1.0,1.0,9.586286353342258e-05,
revision,indicator_revision_only_dfm_kalman_em,exact,pre_advance,,5,1;2;3;4;5,0.2421589698249203,0.2421589698249203,0.2421589698249203,0.0,0.4166666666666667,0.5,0.6666666666666666,0.0001583456740597,DELTA_SA
revision,indicator_revision_only_dfm_kalman_em,exact,pre_second,,5,1;2;3;4;5,0.2681974785489229,0.2681974785489229,0.2681974785489229,0.0,0.3333333333333333,0.5,0.5,0.0002042771412131,DELTA_TS
revision,indicator_revision_only_dfm_kalman_em,exact,pre_third,,5,1;2;3;4;5,0.5869673912010218,0.5869673912010218,0.5869673912010218,0.0,0.5833333333333334,0.5833333333333334,0.6666666666666666,9.921030111502684e-05,DELTA_MT
revision,indicator_revision_only_dfm_kalman_em,pseudo,pre_advance,,5,1;2;3;4;5,0.2421589698249203,0.2421589698249203,0.2421589698249203,0.0,0.5,0.5833333333333334,0.6666666666666666,0.0001177182657105,DELTA_SA
revision,indicator_revision_only_dfm_kalman_em,pseudo,pre_second,,5,1;2;3;4;5,0.2681974785489229,0.2681974785489229,0.2681974785489229,0.0,0.3333333333333333,0.5,0.5,0.0001994768211107,DELTA_TS
revision,indicator_revision_only_dfm_kalman_em,pseudo,pre_third,,5,1;2;3;4;5,0.5869673912010218,0.5869673912010218,0.5869673912010218,0.0,0.5,0.5833333333333334,0.6666666666666666,0.0001424350126293,DELTA_MT
revision,joint_indicator_revision_dfm_full_kalman_em,exact,pre_advance,,5,1;2;3;4;5,0.3980000050289998,0.3989607981597082,0.4023921503485682,0.0043921453195683,0.5833333333333334,0.6666666666666666,0.6666666666666666,9.74657671995586e-05,DELTA_SA
