model_id,timing_mode,checkpoint_id,outcome_id,threshold_abs_revision,n_obs,sign_accuracy,balanced_accuracy,sensitivity,specificity,precision,actual_positive_pred_positive,actual_positive_pred_nonpositive,actual_negative_pred_positive,actual_negative_pred_nonpositive,mean_abs_realized_revision,mean_abs_forecast_revision
indicator_revision_only_dfm_kalman_em,exact,pre_third,DELTA_MT,0.2,67,0.0,0.5,0.0,1.0,,0,25,0,42,1.1817877252288065,0.0
indicator_revision_only_dfm_kalman_em,pseudo,pre_advance,DELTA_SA,0.0,79,0.0,0.5,0.0,1.0,,0,48,0,31,0.3997025316455695,0.0
indicator_revision_only_dfm_kalman_em,pseudo,pre_advance,DELTA_SA,0.1,61,0.0,0.5,0.0,1.0,,0,37,0,24,0.5046213114754097,0.0
indicator_revision_only_dfm_kalman_em,pseudo,pre_advance,DELTA_SA,0.2,52,0.0,0.5,0.0,1.0,,0,33,0,19,0.5673499999999999,0.0
indicator_revision_only_dfm_kalman_em,pseudo,pre_second,DELTA_TS,0.0,79,0.0,0.5,0.0,1.0,,0,49,0,30,0.23798607594936708,0.0
indicator_revision_only_dfm_kalman_em,pseudo,pre_second,DELTA_TS,0.1,51,0.0,0.5,0.0,1.0,,0,34,0,17,0.3465450980392156,0.0
indicator_revision_only_dfm_kalman_em,pseudo,pre_second,DELTA_TS,0.2,38,0.0,0.5,0.0,1.0,,0,28,0,10,0.41342105263157897,0.0
indicator_revision_only_dfm_kalman_em,pseudo,pre_third,DELTA_MT,0.0,74,0.0,0.5,0.0,1.0,,0,31,0,43,1.080717543507795,0.0
indicator_revision_only_dfm_kalman_em,pseudo,pre_third,DELTA_MT,0.1,71,0.0,0.5,0.0,1.0,,0,29,0,42,1.1234777915756655,0.0
indicator_revision_only_dfm_kalman_em,pseudo,pre_third,DELTA_MT,0.2,67,0.0,0.5,0.0,1.0,,0,25,0,42,1.1817877252288065,0.0
joint_indicator_revision_dfm_full_kalman_em,exact,pre_advance,DELTA_SA,0.0,79,0.6329113924050633,0.5665322580645161,0.875,0.25806451612903225,0.6461538461538462,42,6,23,8,0.3997025316455695,0.2512624604387718
joint_indicator_revision_dfm_full_kalman_em,exact,pre_advance,DELTA_SA,0.1,61,0.6229508196721312,0.5574324324324325,0.8648648648648649,0.25,0.64,32,5,18,6,0.5046213114754097,0.2336849262788812
joint_indicator_revision_dfm_full_kalman_em,exact,pre_advance,DELTA_SA,0.2,52,0.6538461538461539,0.5821371610845295,0.8484848484848485,0.3157894736842105,0.6829268292682927,28,5,13,6,0.5673499999999999,0.23896006445929574
joint_indicator_revision_dfm_full_kalman_em,exact,pre_second,DELTA_TS,0.0,79,0.5443037974683544,0.4904761904761905,0.7142857142857143,0.26666666666666666,0.6140350877192983,35,14,22,8,0.23798607594936708,0.0072395966805695496
joint_indicator_revision_dfm_full_kalman_em,exact,pre_second,DELTA_TS,0.1,51,0.5294117647058824,0.42647058823529416,0.7352941176470589,0.11764705882352941,0.625,25,9,15,2,0.3465450980392156,0.007304766588382101
