model_id,timing_mode,checkpoint_id,outcome_id,threshold_abs_revision,n_obs,sign_accuracy,balanced_accuracy,sensitivity,specificity,precision,actual_positive_pred_positive,actual_positive_pred_nonpositive,actual_negative_pred_positive,actual_negative_pred_nonpositive,mean_abs_realized_revision,mean_abs_forecast_revision
indicator_revision_only_dfm_kalman_em,pseudo,pre_advance,DELTA_SA,0.0,79,0.0,0.5,0.0,1.0,,0,48,0,31,0.3997025316455695,0.0
indicator_revision_only_dfm_kalman_em,pseudo,pre_advance,DELTA_SA,0.1,61,0.0,0.5,0.0,1.0,,0,37,0,24,0.5046213114754097,0.0
indicator_revision_only_dfm_kalman_em,pseudo,pre_advance,DELTA_SA,0.2,52,0.0,0.5,0.0,1.0,,0,33,0,19,0.5673499999999999,0.0
indicator_revision_only_dfm_kalman_em,pseudo,pre_second,DELTA_TS,0.0,79,0.0,0.5,0.0,1.0,,0,49,0,30,0.23798607594936708,0.0
indicator_revision_only_dfm_kalman_em,pseudo,pre_second,DELTA_TS,0.1,51,0.0,0.5,0.0,1.0,,0,34,0,17,0.3465450980392156,0.0
indicator_revision_only_dfm_kalman_em,pseudo,pre_second,DELTA_TS,0.2,38,0.0,0.5,0.0,1.0,,0,28,0,10,0.41342105263157897,0.0
indicator_revision_only_dfm_kalman_em,pseudo,pre_third,DELTA_MT,0.0,80,0.0,0.5,0.0,1.0,,0,42,0,38,1.05551,0.0
indicator_revision_only_dfm_kalman_em,pseudo,pre_third,DELTA_MT,0.1,75,0.0,0.5,0.0,1.0,,0,38,0,37,1.123417333333333,0.0
indicator_revision_only_dfm_kalman_em,pseudo,pre_third,DELTA_MT,0.2,68,0.0,0.5,0.0,1.0,,0,36,0,32,1.223070588235294,0.0
joint_indicator_revision_dfm_full_kalman_em,exact,pre_advance,DELTA_SA,0.0,79,0.620253164556962,0.5675403225806451,0.8125,0.3225806451612903,0.65,39,9,21,10,0.3997025316455695,0.2575604089195905
joint_indicator_revision_dfm_full_kalman_em,exact,pre_advance,DELTA_SA,0.1,61,0.6557377049180327,0.5990990990990991,0.8648648648648649,0.3333333333333333,0.6666666666666666,32,5,16,8,0.5046213114754097,0.21869133230301263
joint_indicator_revision_dfm_full_kalman_em,exact,pre_advance,DELTA_SA,0.2,52,0.6923076923076923,0.634768740031898,0.8484848484848485,0.42105263157894735,0.717948717948718,28,5,11,8,0.5673499999999999,0.21768494789865134
joint_indicator_revision_dfm_full_kalman_em,exact,pre_second,DELTA_TS,0.0,79,0.5189873417721519,0.47006802721088436,0.673469387755102,0.26666666666666666,0.6,33,16,22,8,0.23798607594936708,0.007217175579878441
joint_indicator_revision_dfm_full_kalman_em,exact,pre_second,DELTA_TS,0.1,51,0.5294117647058824,0.44117647058823534,0.7058823529411765,0.17647058823529413,0.631578947368421,24,10,14,3,0.3465450980392156,0.007311277023509122
joint_indicator_revision_dfm_full_kalman_em,exact,pre_second,DELTA_TS,0.2,38,0.5789473684210527,0.4571428571428572,0.7142857142857143,0.2,0.7142857142857143,20,8,8,2,0.41342105263157897,0.007895123272209256
joint_indicator_revision_dfm_full_kalman_em,exact,pre_third,DELTA_MT,0.0,80,0.4125,0.40789473684210525,0.5,0.3157894736842105,0.44680851063829785,21,21,26,12,1.05551,0.0060626795607446006
joint_indicator_revision_dfm_full_kalman_em,exact,pre_third,DELTA_MT,0.1,75,0.4,0.39900426742532,0.47368421052631576,0.32432432432432434,0.4186046511627907,18,20,25,12,1.123417333333333,0.006227565958920066
joint_indicator_revision_dfm_full_kalman_em,exact,pre_third,DELTA_MT,0.2,68,0.38235294117647056,0.3767361111111111,0.4722222222222222,0.28125,0.425,17,19,23,9,1.223070588235294,0.0062656518165525015
joint_indicator_revision_dfm_full_kalman_em,pseudo,pre_advance,DELTA_SA,0.0,79,0.6075949367088608,0.5514112903225806,0.8125,0.2903225806451613,0.639344262295082,39,9,22,9,0.3997025316455695,0.2542846601214379
joint_indicator_revision_dfm_full_kalman_em,pseudo,pre_advance,DELTA_SA,0.1,61,0.639344262295082,0.5782657657657658,0.8648648648648649,0.2916666666666667,0.6530612244897959,32,5,17,7,0.5046213114754097,0.2143331979967137
