subsample,model_id,timing_mode,checkpoint_id,target_id,n_forecasts,RMSE,MAE,bias,sign_accuracy,convergence_rate,mean_iterations,mean_llf_relative_last_improvement,median_llf_relative_last_improvement,max_llf_relative_last_improvement,relative_RMSFE,DM_test_vs_ar_normal_approx
full_sample,indicator_revision_only_dfm_kalman_em,exact,pre_advance,A,80,3.565573758950876,2.100779410470352,0.3040050466199193,0.9125,0.9375,31.4,0.00023942554089762306,9.352011572033826e-05,0.0111587145087622,0.49959863756916306,0.30385556736881314
full_sample,indicator_revision_only_dfm_kalman_em,exact,pre_second,S,79,0.5913441736166517,0.44671989475336804,-0.019226616591523575,0.9746835443037974,0.9367088607594937,31.518987341772153,9.954261821857314e-05,9.56583316932476e-05,0.0002946929484859,0.08518212859737032,0.24085805971039148
full_sample,indicator_revision_only_dfm_kalman_em,exact,pre_third,T,80,0.3707703330897534,0.24204902026475333,-0.04872828030493199,1.0,0.975,30.925,9.490968767245242e-05,9.42634655530943e-05,0.000300970808272,0.054096254495448956,0.23450006028840037
full_sample,indicator_revision_only_dfm_kalman_em,pseudo,pre_advance,A,80,3.565231720798303,2.1014855916560773,0.31176289259595086,0.9125,0.9375,31.5625,0.00023753080683189035,9.347414389056525e-05,0.0111587145087622,0.4995507121000592,0.3037383525495167
full_sample,indicator_revision_only_dfm_kalman_em,pseudo,pre_second,S,79,0.5913486733086548,0.44664686398756426,-0.019183806076302903,0.9746835443037974,0.9367088607594937,31.569620253164558,9.972711806347789e-05,9.57078857657848e-05,0.0002966142482157,0.08518277677039705,0.240858350499494
full_sample,indicator_revision_only_dfm_kalman_em,pseudo,pre_third,T,80,0.3707152109569166,0.24198460865103194,-0.04874203952346253,1.0,0.975,30.925,9.514150078860407e-05,9.42745521502832e-05,0.0003012254393462,0.05408821204798176,0.23449961759699214
full_sample,joint_indicator_revision_dfm_full_kalman_em,exact,pre_advance,A,80,3.6085298618787736,1.9831523525743535,0.15864658149861705,0.925,0.95,31.5375,0.00010467842841136265,9.373895744312506e-05,0.0004770198968378,0.5056175315674106,0.2923793126152182
full_sample,joint_indicator_revision_dfm_full_kalman_em,exact,pre_second,S,79,0.6318578605374555,0.47375010240705145,0.06616586197985187,0.9620253164556962,0.9240506329113924,32.177215189873415,0.0002490281336560129,9.370243175834828e-05,0.0116237683400928,0.09101805671370736,0.2409574822705002
full_sample,joint_indicator_revision_dfm_full_kalman_em,exact,pre_third,T,80,0.3721212382773847,0.24624925595841582,-0.04132413287800049,1.0,0.95,32.15,9.995428495065679e-05,9.391024712955846e-05,0.0004186362271782,0.05429335470630006,0.2345144453039809
full_sample,joint_indicator_revision_dfm_full_kalman_em,pseudo,pre_advance,A,80,3.6092417977258933,1.9824549744639703,0.16277429253234782,0.925,0.95,31.65,0.0001041088368992536,9.382690607513042e-05,0.0004640752656214,0.505717286109962,0.2922012261565925
full_sample,joint_indicator_revision_dfm_full_kalman_em,pseudo,pre_second,S,79,0.6314560118578099,0.47362194246309725,0.06553796053887723,0.9620253164556962,0.9240506329113924,31.911392405063292,0.00024934370073340437,9.447115988432732e-05,0.0116237683400928,0.09096017109069207,0.24095374773300982
full_sample,joint_indicator_revision_dfm_full_kalman_em,pseudo,pre_third,T,80,0.37213476654083555,0.24621444730210115,-0.04129916426091691,1.0,0.95,32.15,0.00010051183024390501,9.427126833606144e-05,0.0004187613914071,0.05429532851142201,0.23451455436939744
full_sample,midas_umidas,exact,pre_advance,A,80,13.366462459511451,8.137926816908715,-1.4902070873137654,0.6125,1.0,0.0,,,,1.8728728909694918,0.008324288872076126
full_sample,midas_umidas,exact,pre_second,S,79,4.770330173182115,2.0735614295798213,0.42856838831025096,0.8607594936708861,1.0,0.0,,,,0.6871579976491585,0.32095993122961486
full_sample,midas_umidas,exact,pre_third,T,80,6.190490508808118,2.464334501422888,0.3600422160923934,0.875,1.0,0.0,,,,0.9032069724280755,0.38712823997284884
full_sample,midas_umidas,pseudo,pre_advance,A,80,13.553973435987377,8.229496807263976,-1.5805326543917775,0.6125,1.0,0.0,,,,1.8991464263693598,0.010005705988872128
full_sample,midas_umidas,pseudo,pre_second,S,79,4.7627716394170765,2.056091631829284,0.39163177288133166,0.8734177215189873,1.0,0.0,,,,0.6860692036373003,0.31945117177805593
full_sample,midas_umidas,pseudo,pre_third,T,80,6.186914482958172,2.466880937795282,0.38281850628520886,0.875,1.0,0.0,,,,0.9026852219340462,0.38511783077305667
full_sample,monthly_mixed_frequency_kalman_em,exact,pre_advance,A,80,3.724636447796112,1.9789027956418408,0.14154752160757605,0.95,0.625,39.675,0.0001237227083153511,9.734511730213526e-05,0.0007214360977134,0.5218860751619699,0.2892054450743928
full_sample,monthly_mixed_frequency_kalman_em,exact,pre_second,S,79,0.5898720623831147,0.40856686244030327,0.0431659486320175,0.9620253164556962,0.569620253164557,40.11392405063291,0.00011591647593297079,9.794201308369304e-05,0.0005728569363223,0.0849700734626459,0.24047292904679118
full_sample,monthly_mixed_frequency_kalman_em,exact,pre_third,T,80,0.3689494943196956,0.2596360448384892,0.0014905916658054879,0.9875,0.55,39.9125,0.00013534648516654854,9.88424925629284e-05,0.0007175549702425,0.05383058988124051,0.23444817665954282
full_sample,monthly_mixed_frequency_kalman_em,pseudo,pre_advance,A,80,3.727901074445354,1.985923212322509,0.14836001974726148,0.95,0.625,39.675,0.0001236806052349069,9.716241491381464e-05,0.0007214360977134,0.5223435058972167,0.28957222313422876
full_sample,monthly_mixed_frequency_kalman_em,pseudo,pre_second,S,79,0.5888586237650965,0.4067719627146271,0.041123288422351426,0.9620253164556962,0.569620253164557,40.177215189873415,0.00011595817223518163,9.777199793147062e-05,0.0005728569363223,0.08482408934284372,0.24046982394310185
full_sample,monthly_mixed_frequency_kalman_em,pseudo,pre_third,T,80,0.3679534545978968,0.2592003717195164,0.00016535499628490686,0.9875,0.5625,39.9125,0.0001335235573230143,9.87066021482408e-05,0.0007107540363771,0.05368526536773646,0.23444024092669224
full_sample,no_revision,exact,pre_advance,A,80,7.26944298718703,2.553570419453158,-0.19438472290895642,0.8875,1.0,0.0,,,,1.0185748655930085,0.22212807854117209
full_sample,no_revision,exact,pre_second,S,79,0.5696627235545563,0.3997025316455695,-0.0657987341772152,0.9620253164556962,1.0,0.0,,,,0.08205895236639228,0.24061652852272167
full_sample,no_revision,exact,pre_third,T,80,0.36218671255306983,0.24027250000000003,-0.04849250000000001,1.0,1.0,0.0,,,,0.05284388428239744,0.23443813071150568
