subsample,model_id,timing_mode,checkpoint_id,revision_target_id,n_forecasts,RMSE,MAE,bias,sign_accuracy,convergence_rate,mean_iterations,mean_llf_relative_last_improvement,median_llf_relative_last_improvement,max_llf_relative_last_improvement,relative_RMSFE,DM_test_vs_ar_normal_approx
full_sample,release_dfm,exact,pre_second,DELTA_TS,79,0.3637919631069554,0.24234425732737855,-0.02082413871757817,0.5822784810126582,1.0,0.0,,,,0.8918301428962992,0.10151136542361612
full_sample,release_dfm,exact,pre_third,DELTA_MT,80,1.1538502570072733,0.6448737143723886,0.5412511350814385,0.2,1.0,0.0,,,,0.29666992470459214,0.08067563029446749
full_sample,release_dfm,pseudo,pre_advance,DELTA_SA,79,0.6405783165541686,0.42694074858486164,-0.007591496798546737,0.5949367088607594,1.0,0.0,,,,0.9446077702956089,0.39997645094017176
full_sample,release_dfm,pseudo,pre_second,DELTA_TS,79,0.3638289418724508,0.24238972923091182,-0.020815017902629223,0.5822784810126582,1.0,0.0,,,,0.8919207957447961,0.1018342568042306
full_sample,release_dfm,pseudo,pre_third,DELTA_MT,80,1.1535986114275298,0.64464689441478,0.5412975765646282,0.2,1.0,0.0,,,,0.2966052233495061,0.08066247148146258
full_sample,revision_dfm_kalman_em,exact,pre_advance,DELTA_SA,79,0.6473857119977422,0.4516156481550531,0.08237694121465745,0.6075949367088608,0.9873417721518988,26.78481012658228,9.309540060562981e-05,9.460143414120858e-05,0.0001068750087724,0.9546460723506407,0.54198877225248
full_sample,revision_dfm_kalman_em,exact,pre_second,DELTA_TS,79,0.3613388294922605,0.2380455931573627,-0.05051591739411781,0.569620253164557,0.9873417721518988,27.126582278481013,9.37143729479016e-05,9.413889363531712e-05,0.0001426551480553,0.8858163253192083,0.09007645240072984
full_sample,revision_dfm_kalman_em,exact,pre_third,DELTA_MT,80,1.003598672838071,0.4729442363221211,0.2950236592110267,0.2875,1.0,26.0625,9.240964097377479e-05,9.371871046059954e-05,9.95723951507454e-05,0.2580382860742582,0.07536103842907235
full_sample,revision_dfm_kalman_em,pseudo,pre_advance,DELTA_SA,79,0.646698281714718,0.45124729405226066,0.08262429946553641,0.6075949367088608,0.9873417721518988,26.78481012658228,9.3053013060133e-05,9.463578514493577e-05,0.0001068750087724,0.953632375867166,0.5333948343741881
full_sample,revision_dfm_kalman_em,pseudo,pre_second,DELTA_TS,79,0.3613356130062197,0.2380162655531452,-0.0505438042262621,0.569620253164557,0.9873417721518988,27.126582278481013,9.37403427476697e-05,9.401595464348744e-05,0.0001472052436038,0.8858084401554436,0.0900507975384925
