model_id,timing_mode,checkpoint_id,revision_target_id,n_forecasts,RMSE,MAE,bias,relative_RMSFE,DM_test,sign_accuracy,convergence_rate,mean_iterations,mean_llf_relative_last_improvement,median_llf_relative_last_improvement,max_llf_relative_last_improvement,mean_numerical_guard_event_count,max_numerical_guard_event_count,initialization_seed,source_dir
revision_dfm_kalman_em,pseudo,pre_second,DELTA_TS,12,0.2674119768842666,0.1846560336896032,-0.106329046857783,1.0613285501082883,0.385252526216199,0.6666666666666666,1.0,27.166666666666668,9.449506226427052e-05,9.388915538076176e-05,9.938627659082833e-05,0.0,0.0,1,<PROJECT_ROOT>/outputs/full_state_space_release_revision_dfm/initialization_audit_journal_candidate/seed_1
standard_dfm,pseudo,pre_second,DELTA_TS,12,0.2506157098335023,0.1827878756079632,-0.0419166563605817,0.9946660245029588,0.5985350114964143,0.6666666666666666,1.0,0.0,,,,0.0,0.0,1,<PROJECT_ROOT>/outputs/full_state_space_release_revision_dfm/initialization_audit_journal_candidate/seed_1
ar,pseudo,pre_third,DELTA_MT,12,3.932973087544104,1.7813117148934503,-1.187940989204239,1.0,1.0,0.4166666666666667,1.0,0.0,,,,0.0,0.0,1,<PROJECT_ROOT>/outputs/full_state_space_release_revision_dfm/initialization_audit_journal_candidate/seed_1
bridge,pseudo,pre_third,DELTA_MT,12,1.1043136490451386,0.7960913427605586,0.2374665752516012,0.2807834237520078,0.317313920823929,0.5,1.0,0.0,,,,0.0,0.0,1,<PROJECT_ROOT>/outputs/full_state_space_release_revision_dfm/initialization_audit_journal_candidate/seed_1
indicator_revision_only_dfm_kalman_em,pseudo,pre_third,DELTA_MT,12,0.5869673912010218,0.4937166666666668,-0.2176333333333333,0.1492426665872626,0.2852918527964827,0.0,0.5833333333333334,41.916666666666664,0.0002211523697429,9.316152429919482e-05,0.0007128077179073,0.0,0.0,1,<PROJECT_ROOT>/outputs/full_state_space_release_revision_dfm/initialization_audit_journal_candidate/seed_1
joint_indicator_revision_dfm_full_kalman_em,pseudo,pre_third,DELTA_MT,12,0.5877137644761947,0.4946718729326921,-0.2165600856072506,0.1494324398856197,0.285327484991625,0.5,0.6666666666666666,44.916666666666664,0.0001808772944907,9.818040654472346e-05,0.0005150827907741,0.0,0.0,1,<PROJECT_ROOT>/outputs/full_state_space_release_revision_dfm/initialization_audit_journal_candidate/seed_1
midas_umidas,pseudo,pre_third,DELTA_MT,12,4.2094849521279505,3.5206111054209823,-0.224052022048252,1.070306065774915,0.8917589789756226,0.25,1.0,0.0,,,,0.0,0.0,1,<PROJECT_ROOT>/outputs/full_state_space_release_revision_dfm/initialization_audit_journal_candidate/seed_1
monthly_mixed_frequency_kalman_em,pseudo,pre_third,DELTA_MT,12,0.5784598744747702,0.5015474949789395,-0.1832964767284867,0.1470795404898085,0.2848928874871325,0.5,1.0,28.583333333333332,9.28181234038416e-05,9.22090328105168e-05,9.732688187162676e-05,0.0,0.0,1,<PROJECT_ROOT>/outputs/full_state_space_release_revision_dfm/initialization_audit_journal_candidate/seed_1
no_revision,pseudo,pre_third,DELTA_MT,12,0.5869673912010218,0.4937166666666668,-0.2176333333333333,0.1492426665872626,0.2852918527964827,0.0,1.0,0.0,,,,0.0,0.0,1,<PROJECT_ROOT>/outputs/full_state_space_release_revision_dfm/initialization_audit_journal_candidate/seed_1
release_dfm,pseudo,pre_third,DELTA_MT,12,0.5699932175570538,0.4076405162081749,0.1964854263930126,0.1449268034307803,0.2853873905221377,0.75,1.0,0.0,,,,0.0,0.0,1,<PROJECT_ROOT>/outputs/full_state_space_release_revision_dfm/initialization_audit_journal_candidate/seed_1
