model_id,timing_mode,checkpoint_id,outcome_id,revision_size_bin,n_obs,RMSE,MAE,bias
monthly_mixed_frequency_kalman_em,exact,pre_advance,DELTA_SA,abs_le_0p1,18,0.3423908202193694,0.20040482261997583,0.1535373116379869
monthly_mixed_frequency_kalman_em,exact,pre_advance,DELTA_SA,abs_0p1_0p2,9,0.1998340254326968,0.16440866105719343,0.1479058853830119
monthly_mixed_frequency_kalman_em,exact,pre_advance,DELTA_SA,abs_0p2_0p5,32,0.3416167613684576,0.300733599685184,-0.036104432325771416
monthly_mixed_frequency_kalman_em,exact,pre_advance,DELTA_SA,abs_gt_0p5,20,0.9909693456756651,0.8951781271303135,0.014762929985834361
monthly_mixed_frequency_kalman_em,exact,pre_second,DELTA_TS,abs_le_0p1,28,0.1389526962602587,0.10182349051100649,0.0518253404218131
monthly_mixed_frequency_kalman_em,exact,pre_second,DELTA_TS,abs_0p1_0p2,13,0.1962677484589937,0.17754753381970578,0.06880264194203381
monthly_mixed_frequency_kalman_em,exact,pre_second,DELTA_TS,abs_0p2_0p5,31,0.3506760905924708,0.29216634995228036,-0.09622422556321658
monthly_mixed_frequency_kalman_em,exact,pre_second,DELTA_TS,abs_gt_0p5,7,0.9800538717991888,0.8426435223159024,0.09529411796417417
monthly_mixed_frequency_kalman_em,exact,pre_third,DELTA_MT,abs_le_0p1,3,0.054586989078727166,0.0455865864580374,0.0455865864580374
monthly_mixed_frequency_kalman_em,exact,pre_third,DELTA_MT,abs_0p1_0p2,4,0.11400610493273568,0.08914156100847993,-0.08914156100847993
monthly_mixed_frequency_kalman_em,exact,pre_third,DELTA_MT,abs_0p2_0p5,17,0.40363532374667904,0.3829994985031618,-0.023939358832215218
monthly_mixed_frequency_kalman_em,exact,pre_third,DELTA_MT,abs_gt_0p5,50,1.7623333205403982,1.5325050701601384,0.648348632652125
monthly_mixed_frequency_kalman_em,pseudo,pre_advance,DELTA_SA,abs_le_0p1,18,0.3423840293460442,0.20043475423897217,0.153258892298737
monthly_mixed_frequency_kalman_em,pseudo,pre_advance,DELTA_SA,abs_0p1_0p2,9,0.19926732728544913,0.16351750863723083,0.14764997546788025
monthly_mixed_frequency_kalman_em,pseudo,pre_advance,DELTA_SA,abs_0p2_0p5,32,0.3405667872883552,0.2994579464386756,-0.035102906271905245
monthly_mixed_frequency_kalman_em,pseudo,pre_advance,DELTA_SA,abs_gt_0p5,20,0.9907801448036286,0.8950028250538221,0.013972286701556712
monthly_mixed_frequency_kalman_em,pseudo,pre_second,DELTA_TS,abs_le_0p1,28,0.13294119409628272,0.09950483584549827,0.04998031682845594
monthly_mixed_frequency_kalman_em,pseudo,pre_second,DELTA_TS,abs_0p1_0p2,13,0.19594077472324625,0.17739897120288747,0.06845717729562492
monthly_mixed_frequency_kalman_em,pseudo,pre_second,DELTA_TS,abs_0p2_0p5,31,0.35072091742237355,0.29220037384539804,-0.09618110728831716
monthly_mixed_frequency_kalman_em,pseudo,pre_second,DELTA_TS,abs_gt_0p5,7,0.9800779025247567,0.8429228020290306,0.09564070801870177
monthly_mixed_frequency_kalman_em,pseudo,pre_third,DELTA_MT,abs_le_0p1,3,0.05376429723803861,0.045056114981062066,0.045056114981062066
monthly_mixed_frequency_kalman_em,pseudo,pre_third,DELTA_MT,abs_0p1_0p2,4,0.11390183756653562,0.08892922672531467,-0.08892922672531467
monthly_mixed_frequency_kalman_em,pseudo,pre_third,DELTA_MT,abs_0p2_0p5,17,0.40362591335840403,0.3830218080756466,-0.02396958778600739
monthly_mixed_frequency_kalman_em,pseudo,pre_third,DELTA_MT,abs_gt_0p5,50,1.762695879363874,1.5325862401284034,0.6477791914537384
no_revision,exact,pre_advance,DELTA_SA,abs_le_0p1,18,0.05790484531635591,0.04414444444444435,-0.016966666666666748
no_revision,exact,pre_advance,DELTA_SA,abs_0p1_0p2,9,0.14607059556559937,0.14218888888888892,-0.006455555555555548
no_revision,exact,pre_advance,DELTA_SA,abs_0p2_0p5,32,0.3458252936816507,0.33426874999999995,-0.1111625
no_revision,exact,pre_advance,DELTA_SA,abs_gt_0p5,20,1.0382029315119465,0.9402799999999998,-0.06386999999999984
no_revision,exact,pre_second,DELTA_TS,abs_le_0p1,28,0.04821638355224437,0.04025357142857142,0.0042107142857143115
no_revision,exact,pre_second,DELTA_TS,abs_0p1_0p2,13,0.15456810298874235,0.15106153846153847,0.00855384615384612
no_revision,exact,pre_second,DELTA_TS,abs_0p2_0p5,31,0.32074044023166154,0.31281612903225803,-0.15223548387096775
no_revision,exact,pre_second,DELTA_TS,abs_gt_0p5,7,0.9821544255942066,0.8589571428571429,0.02712857142857144
no_revision,exact,pre_third,DELTA_MT,abs_le_0p1,3,0.07083213983547525,0.06872500590152897,-0.018553733976357702
no_revision,exact,pre_third,DELTA_MT,abs_0p1_0p2,4,0.15040136377828905,0.1467864028855499,-0.1467864028855499
no_revision,exact,pre_third,DELTA_MT,abs_0p2_0p5,17,0.35865450330052934,0.3478595236402282,-0.01684428750611942
no_revision,exact,pre_third,DELTA_MT,abs_gt_0p5,50,1.7026101356602281,1.4653233137689232,0.5936960771385739
no_revision,pseudo,pre_advance,DELTA_SA,abs_le_0p1,18,0.05790484531635591,0.04414444444444435,-0.016966666666666748
no_revision,pseudo,pre_advance,DELTA_SA,abs_0p1_0p2,9,0.14607059556559937,0.14218888888888892,-0.006455555555555548
no_revision,pseudo,pre_advance,DELTA_SA,abs_0p2_0p5,32,0.3458252936816507,0.33426874999999995,-0.1111625
