model_id,timing_mode,checkpoint_id,target_id,n_forecasts,n_variance,share_positive_variance,share_finite_sd,min_forecast_variance,median_forecast_variance,max_forecast_variance,mean_forecast_sd,empirical_error_sd,RMSE,mean_sd_to_rmse,mean_sd_to_empirical_error_sd,coverage_68,coverage_90,model_implied_share
joint_indicator_revision_dfm_full_kalman_em,pseudo,pre_second,S,79,79,1.0,1.0,0.3586689594574473,0.4080036916386403,0.4292237107186087,0.6330698644406481,0.6726561963736015,0.6706690849996222,0.9439377460510271,0.941149234711031,0.7468354430379747,0.8860759493670886,1.0
joint_indicator_revision_dfm_full_kalman_em,pseudo,pre_third,T,80,80,1.0,1.0,0.1246816939474772,0.1367389666060131,0.4907723643563103,0.37296254399506534,0.37466709845307006,0.37433318196379367,0.9963384545245554,0.9954504826683674,0.8375,0.9375,1.0
midas_umidas,exact,pre_advance,A,80,0,0.0,0.0,,,,,13.366938299862166,13.366462459510315,,,,,0.0
midas_umidas,exact,pre_second,S,79,0,0.0,0.0,,,,,4.781398181842118,4.770330173181986,,,,,0.0
midas_umidas,exact,pre_third,T,80,0,0.0,0.0,,,,,6.219002512086732,6.1904905088081,,,,,0.0
midas_umidas,pseudo,pre_advance,A,80,0,0.0,0.0,,,,,13.54643630774579,13.55397343598597,,,,,0.0
midas_umidas,pseudo,pre_second,S,79,0,0.0,0.0,,,,,4.77697313408313,4.762771639416987,,,,,0.0
midas_umidas,pseudo,pre_third,T,80,0,0.0,0.0,,,,,6.214019332443593,6.186914482958165,,,,,0.0
monthly_mixed_frequency_kalman_em,exact,pre_advance,A,80,80,1.0,1.0,3.3603269578917327,4.934352570708718,6.978122541000866,2.2524368291761165,4.582409319677664,4.566620727826671,0.49323930394545545,0.49153985862933725,0.75,0.875,1.0
monthly_mixed_frequency_kalman_em,exact,pre_second,S,79,79,1.0,1.0,0.3540292755071536,0.3762567514162689,0.3968899146786846,0.6138764586786827,0.6072092790380827,0.6033540462563964,1.0174398638536928,1.0109800358307466,0.810126582278481,0.8987341772151899,1.0
monthly_mixed_frequency_kalman_em,exact,pre_third,T,80,80,1.0,1.0,0.1358048087026963,0.14533220957470105,0.515712396534737,0.38851013123580486,0.3723476413570055,0.37020799973843105,1.0494374284464547,1.043406988748192,0.8625,0.9375,1.0
monthly_mixed_frequency_kalman_em,pseudo,pre_advance,A,80,80,1.0,1.0,3.3587547112285185,4.934180334303662,6.978122541000866,2.25297713173039,4.581945013038121,4.566424041323894,0.49337886962359473,0.49170758822278465,0.75,0.875,1.0
monthly_mixed_frequency_kalman_em,pseudo,pre_second,S,79,79,1.0,1.0,0.3540293553922182,0.3762567514162689,0.3969089098705848,0.6137891428052027,0.6072076166642384,0.6033530522611176,1.017296822324798,1.010839004584825,0.810126582278481,0.8987341772151899,1.0
monthly_mixed_frequency_kalman_em,pseudo,pre_third,T,80,80,1.0,1.0,0.1358103959898369,0.145348562785763,0.515267184327079,0.3884166351906369,0.370113829850825,0.3679980800032654,1.0554854938025502,1.0494518276909264,0.8625,0.9375,1.0
no_revision,exact,pre_advance,A,80,0,0.0,0.0,,,,,7.312691649659501,7.26944298718703,,,,,0.0
no_revision,exact,pre_second,S,79,0,0.0,0.0,,,,,0.5694656229901923,0.5696627235545563,,,,,0.0
no_revision,exact,pre_third,T,80,0,0.0,0.0,,,,,0.3611902856870371,0.36218671255306983,,,,,0.0
no_revision,pseudo,pre_advance,A,80,0,0.0,0.0,,,,,7.312691649659501,7.26944298718703,,,,,0.0
no_revision,pseudo,pre_second,S,79,0,0.0,0.0,,,,,0.5694656229901923,0.5696627235545563,,,,,0.0
no_revision,pseudo,pre_third,T,80,0,0.0,0.0,,,,,0.3611902856870371,0.36218671255306983,,,,,0.0
release_dfm,exact,pre_advance,A,80,0,0.0,0.0,,,,,3.033045309836658,3.0658631497628757,,,,,0.0
release_dfm,exact,pre_second,S,79,0,0.0,0.0,,,,,0.6951108682350918,0.6907381923525489,,,,,0.0
